Ras,Agama,Netral
kuantitas,sisi,fag
banding,ju,akh
httpstcofiorusq,httpstcofqurljwwgy,gabisa
jamin,lihat,malam
kadrun,orang,bersopel
gk,orang,mu
brani,biasmunafik,si
koar,pilih,jelek
bumi,bilang,again
borneo,a,main
takut,httpstcockdepkbyn,jelek
sikat,jurus,kalah
suku,nih,tim
dayak,yahudi,level
hati,komunis,tanggungjawab
drun,iya,bang
suku,sampe,ha
dayak,logika,narasi
sang,ilang,gue
httpstconygsvjvjp,dah,jelek
dikatain,ajar,kak
kecilpendek,agama,asli
rio,better,insecure
negro,guru,ih
azul,cuman,kypa
y,tetap,kd
negro,allah,jelek
jelek,diperdeb,ganti
gendut,httpstcovlmctqwrj,pelatihadaptasimaen
jelek,tlollll,jeleknyalahin
bener,agama,pelatihpecat
jempol,anjing,gitu
siang,brengsekkk,aje
siang,kagak,mao
bikin,gua,juara
mood,isi,kocakkk
jelek,teroris,kaya
aja,radikal,klub
lu,aksi,ud
monyet,lokasi,httpstcobldqyzi
public,bencana,bener
speaking,bismillaah,gue
gua,gantirezim,temen
jelek,gantirezim,deket
banget,httpstcoxhntnoxrkn,emaknya
anjingg,susah,kaya
suara,lindung,banget
gemeternya,agama,dipush
kedengeran,toleransi,nerusin
banget,hormat,sukses
bgst,peluk,orang
alfhsldk,agama,tu
mesti,biar,httpstconjipllgdn
latih,laksana,okihita
gua,wajib,tenang
nini,agama,kali
jelek,httpstcoljntykt,ya
nini,what,wak
jelek,is,hari
pokok,this,aja
jelek,bro,ngelempar
lo,sokong,opini
kale,pkr,jelek
norak,nak,twitter
lo,provokasi,bang
yha,pasal,kerja
kampung,agama,tanggung
ewwh,menteri,beda
laah,i,kerja
lonte,httpstcoeiznwxdh,jel
babi,anak,httpstcocsnai
panggil,muda,nggak
aja,cri,sih
ahh,istri,pacar
kmu,tipe,ngasih
jelek,istri,link
cantik,nabi,tiktok
pura,muhammad,jelek
jelek,cantik,sampe
aja,turun,abrek
ya,kaya,abrek
kali,agama,httpstcorijurjnoxn
cantik,pilih,gila
ngemis,agama,ya
cinta,kota,minimal
cowok,nusantara,ngerjain
miskin,hadiah,gitu
jelek,umat,lho
dekil,nunasranihindubudhakongfuchu,lu
hitam,utk,cv
wkwkwk,kadrun,jelek
kuku,suruh,buat
gue,pinda,mah
rusak,httpstcojvuzyza,gue
pake,menteri,bantu
air,agama,bagusin
kualitas,yaqut,httpstcovqpxnso
jelek,cholil,kelas
level,bantah,gua
emang,batal,asa
pake,umroh,jelek
air,jamaah,banget
gitu,berangkat,kalo
sih,syarat,ginj
suku,httpstcoetrsnmns,jelek
dayak,httpstcoyyouhpz,banget
hidup,kota,indihome
dalam,nusantara,udah
air,hadiah,gabisa
keruh,umat,ngeload
cantik,nunasranihindubudhakongfuchu,agama
sih,utk,ajar
sombong,kadrun,kasih
yagak,suruh,damai
cantik,pindah,hehe
jelek,httpstcooytmcxgex,ekstrimis
hati,yes,agama
ya,kefahaman,dikumpulin
tetep,agama,aja
jelek,but,negarapulau
sih,dakwah,gtkan
hati,is,seru
cantik,kasih,sarkas
bang,sayang,ya
httpstcocwkahsuqo,ros,orang
jijik,melulu,bikin
gaul,tegur,tweet
rakyat,yahudi,jelek
jelata,huruf,ruang
udah,ibrani,publik
jelek,tunggal,pas
kotor,digital,hujat
level,percetakanapa,rame
sinyal,halang,kena
twt,buang,mental
ku,httpstcobsgxpv,akun
jelek,fanatisme,langsung
bayar,lebih,gembok
aja,sepertj,culun
wifi,bilang,tipe
aja,agama,kulit
sebab,powerfull,minyak
orang,kadang,pori
minskin,sedih,pori
suka,liat,ukur
nampung,spt,muncul
wifi,agama,komedo
kaga,ajaranajaran,hitam
njirrr,agama,putih
milih,httpstcofymjozprn,area
milih,jdi,hidung
kalo,inget,mudah
kontol,perna,jerawat
jelek,ngomongin,bosen
tonton,nia,ngeributin
panjul,istidraj,nikah
jelek,allah,adat
golong,merinding,mang
manusia,bngt,radyaaa
purba,syukur,my
istilah,kadang,kembar
ras,httpstcoufifwzmesa,nama
emang,astagfirullah,beda
aja,moga,huruf
jelek,lenceng,doang
belagu,jalan,gemesss
maaf,sesuai,neng
kaya,agama,kenal
mu,paksa,j
jelek,pilih,httpstcojpglqhqw
ken,agama,karna
gue,bebas,emang
tonjok,koq,jelekkkk
cowo,tolonglahjangan,suruh
gila,hujat,gamau
liat,agama,mandi
kdrama,men,kau
sja,httpstcoysyfhpbf,pikir
yatah,hei,jelek
hitam,kribo,kau
tu,ente,sana
mata,ngomong,nunjukgunungmerapi
resah,halu,ahh
luas,mana,i
akar,umat,need
rumput,muslim,to
tsb,mo,gobye
dpt,umat,addie
manfaat,agama,buset
utk,i,inimah
demo,httpstcogqbdmdqjg,sampe
anarkis,salafiwahabi,jari
kerah,alir,keriting
massa,gk,kek
tiada,atur,selese
he,ajar,jd
httpstcopyhcblmqc,sa,cowo
cantik,httpstcolrlgm,luar
perempuan,islam,sono
mudah,agama,jomblo
khianat,manusia,semangat
didik,hidup,ajar
perempuan,dunia,cmn
sulit,allahuakbar,ajar
httpstcolzfekpxxsw,subhanallah,duniawi
wkwkk,httpstcowlvqmwvsa,aja
warga,anwar,be
kampung,pergi,httpstcojsimhxko
gila,sambut,trus
hitam,raya,kalo
putih,orang,pikir
merah,ibadat,worth
outfit,orang,it
tergaknyambung,tu,sih
emang,ret,hidup
masak,beza,sakit
rendang,bangang,hati
babi,kalo,bahagia
besuk,gue,ketemu
main,kristen,httpstcovwdiwxky
rumah,ajarin,cerita
masakin,guru,pandang
rendang,agama,hubung
babi,pas,in
si,sd,this
fenis,kalo,case
ngomong,nulis,hubung
berak,allah,jared
tokai,tuhan,beda
orang,pake,agama
tua,hurus,well
dah,kapit,httpstcoxcrnsfkox
gila,httpstcopnpohncwgs,bolos
gamak,sabar,kantin
benda,ya,gara
huru,kak,gara
hara,pinginnya,ngehindarin
jugak,lgbt,tes
lagu,laknat,baca
maher,allah,quran
zain,swt,mingdepnya
tu,nolak,tabok
dah,wkwk,guru
mudah,httpstcokdpwywxap,gara
gila,pandang,gara
arab,salah,bolos
kau,pergi,httpstcoyjxrydtr
nak,pasal,sumpah
hafal,peribadi,ngerokok
senang,affected,belah
takde,pandang,gue
belit,agam,abu
ii,httpstcoscaeepgx,nya
lidah,indon,terbang
weew,pelik,gue
gila,ladekat,tangan
ortu,tiktok,gue
nya,tu,lepuh
nyalahin,pasang,lo
anak,nipagi,anjing
haishh,nikah,tai
yah,kristian,m
anak,pastu,httpstcohterxmfk
kicik,nika,tipe
skr,httpstcokzqeukpwa,kulit
cakep,dalam,kering
cakep,ilmu,kulit
gue,agama,kelupas
pusing,wbp,timbul
suka,lapas,noda
ama,tual,noda
kaga,ikut,hitam
gila,giat,wajah
yellow,bina,keriput
gatal,rohani,kulit
kaw,httpstcoqkkszrd,kencang
kaw,dunia,httpstcobdhwfwbsk
hitam,neraka,kalo
depends,umat,cewenya
benang,islam,setia
tajam,syurga,ngga
cucuk,orang,jelek
cucuk,kafir,sih
kulit,bro,main
selesa,knapa,minimal
mat,islam,tanding
i,marah,kasih
tell,kafir,sempat
you,kafir,ju
insecure,tu,httpstcorswnmlsmyj
paras,bawa,takut
turun,erti,kulit
didik,httpstcovwzrddsjq,kusamkeringampkasar
jabat,jual,akibat
status,ayat,debupolusi
sosial,agama,amp
ilmu,novel,sinar
agama,series,matahari
anjustadz,ana,masker
cabulllllbiadabmati,sayang,rempah
aja,belakang,hitam
lusin,digembonggembongkan,lulur
biar,orang,rempah
gua,kafir,hita
cincang,musuh,httpstcobkvbfpwg
td,islam,meromantisasi
lu,httpstcoiwmbqgs,suffering
capek,biarin,ok
ngeblokir,ajahtoh,ya
akun,anies,dunia
bule,puja,isi
gila,kaum,orangorang
i,hti,aja
think,fpi,jg
there,pks,ya
is,segenap,si
a,imseolah,gasuka
little,dki,mikir
progress,milik,jelek
gxbisa,agama,orang
gxbisaa,larang,httpstcozpqxdvikvx
tar,pacar,gimana
gwe,gimana,ngeliat
gila,dapat,negara
helm,terima,orang
fellis,abai,negara
sebar,terima,nya
hoax,httpstcovycucdit,aja
tebar,agama,maju
benci,ajar,sejahtera
anak,jaga,belanda
bangsa,marwah,a
teman,pimpin,httpstcombyql
lelaki,nya,bro
suspek,ada,visi
wanita,biadap,ttg
hina,klu,kota
agama,agama,cerdas
tahan,orang,jujur
operasi,goblok,pola
kelab,virus,biaya
komedi,cina,hemat
gantung,salah,pas
httpstcowkzrjvru,ttp,httpstcomdncmgeh
dasar,yahudi,kirain
kadrun,kok,jaring
ceramah,laku,jelek
sih,suka,ternyataa
selangkang,maksiat,emang
utama,benci,ajaa
dunia,fpi,bom
emang,baca,bales
udah,drun,astagfirullah
gila,denny,kirain
plis,siregar,jaring
rem,muslim,jelek
banget,hina,jalan
damn,muslim,skksk
susah,leceh,kalimat
gila,sabda,ok
nk,rasulullah,kalimat
book,httpstcoiyyfihjn,n
utk,thats,bubar
service,the,jalan
gila,thing,sampe
banget,la,speechless
dah,most,baca
rela,argue,anyingggg
jg,benda,jelek
sih,muslims,orang
gue,sedih,jelek
jd,la,orang
kek,tgok,jelek
buzzer,anut,jelek
drama,httpstcouupwinoond,giat
bagus,wehh,tausyiah
beneran,emang,laksana
cuyyyy,tetep,langsung
orang,suruh,bentuk
gila,kelas,kerja
invu,i,lapas
live,mean,kelas
version,gaada,iib
gila,kelas,panyabun
banget,agama,httpstcoewchfvtbs
dah,kristen,sinyal
vocal,kah,jelek
nya,agama,banget
taeyeon,percaya,slr
gila,balut,ya
ya,budaya,giat
bener,samasama,fasilitas
ajaaaaaaaaaaa,tuju,kades
gila,beda,tambong
banget,httpstcoavbnywsbc,agus
sihhhhh,ngomongin,hermawan
manusia,agama,ssos
gila,moral,hadir
ras,suci,rtrw
gue,dll,jajar
udah,manusia,takmir
mandi,manusia,httpstcoicswugyyy
enak,aja,kalo
aje,ngga,gue
lu,simpel,dapet
unboxing,hak,nilai
cewek,sesuai,bagus
barang,aja,puji
selangkang,httpstcowzdovwebx,gilir
hitam,benci,gue
wajar,fpi,dapet
normal,lu,nilai
malu,httpstcolkedwdqmb,jelek
and,iya,ditegor
its,kyk,hp
no,lempar,gue
httpstcoxngknpgrb,batu,riset
capek,sembunyi,jelek
ngeblokir,tangan,bgtt
akun,jual,but
bule,ayatorang,alami
gila,tuduh,ubah
nowplaying,lu,signifikan
ras,t,sumpah
kass,httpstcopgqrhmeql,menjeritt
kanye,si,alya
moment,kafir,gatau
tunein,jhong,a
for,siterus,httpstcoadqh
hiphop,bubar,lemes
amp,p,badan
rnb,dagang,gmn
httpstcocqtjligflp,agama,ya
download,ngomong,td
our,koyok,ujan
free,telek,gede
httpstcoaljycwtz,mikir,banget
krisantus,kadrun,gua
ajak,garax,terpa
warga,kalah,nasib
dayak,pilpres,jelek
lestari,bikin,terpa
budaya,ribut,ujan
tingkat,agama,angin
kualitas,budaya,nilai
sdm,ras,skripsi
httpstcootunvprva,suku,c
tugas,ekonomi,nggak
kali,dll,respon
pengaruh,ngomo,dospem
globalisasi,httpstcoqjrwiklzj,coba
sisih,orang,deketin
budaya,salah,ka
lokal,salahkannabi,httpstcoutymkjoypg
httpstcoaqgbjmnfz,salah,jaring
kalo,membaw,jelek
orang,httpstcopgprfwacan,bet
dateng,kayak,deh
cuman,nya,jelek
syedih,loe,banget
doang,tu,ray
pas,paham,bagus
neng,komunis,dikit
boroboro,laku,kayak
inget,koruptor,anak
aja,ya,tetangga
gausah,sebegit,ku
landenin,httpstcogdhgaxbvmx,tanyain
emang,alhamdulillah,mama
udah,ph,ku
adat,agama,iseng
bikin,wkwkwk,aja
rusak,coba,sih
negara,positive,kak
aja,thinking,lu
orang,sesuai,cantik
peruksa,norma,ngga
pancasilankri,hukum,diem
blunder,agama,aja
prof,konten,main
kalimat,viral,hp
anis,httpstcocablibkln,t
duluan,ulujami,httpstcobvtwzspc
orang,kedok,anjing
arab,agama,wkkwkw
mendekl,doankdh,jelek
httpstcocoilrmb,tau,tipx
yaudah,palestina,nya
ambil,panggil,mending
aja,palestina,ct
mau,agama,selamat
ras,manusia,lantik
ras,httpstcoxbsbqyyp,dasrul
ambil,iman,el
aja,ilmu,hakim
nya,httpstcojqwrzfqdvs,st
free,kafir,kepala
klo,ngajarin,subdirektorat
kau,istighfar,asrama
emng,sehat,haji
orang,luh,direktorat
batak,nista,layan
ruhutcoba,fitnah,h
kau,agama,httpstcostahhjltx
koar,ustad,biasa
msalah,abdul,vendor
brigadir,somadkenapa,gua
jberani,tangkap,enak
gk,mui,enak
kaujngn,pura,jidat
ngoar,tau,kadang
httpstcoihymuime,untung,gemes
china,wakaf,briefnya
ras,nama,jelek
kak,korang,baca
udah,alquran,sejarah
ganti,agih,ya
sebut,kali,tunjuk
barit,alhamdulillah,jalan
tradisi,alquran,perang
turun,korang,gerilya
turun,kol,jendral
kandung,httpstcosajjdvtak,sudirman
makna,b,httpstcocjxdwazwda
budaya,universal,seru
tradisi,aja,canda
sosial,rujuk,ajar
religius,spesifik,makna
ha,agama,petik
httpstcocybaxnclie,sujud,ketawaketiwi
nampak,syukur,boomer
tipu,si,httpstcobvlyemd
malas,ambil,gue
cikgu,munafik,kangen
bahasa,bahaya,guru
melayu,ap,agama
kat,httpstcorpwguwnvjj,poko
sekolah,dagang,nya
bangsa,agama,patut
bangsa,peduli,selidik
india,dg,muncul
httpstcogudeyldlg,rakyat,nista
sambut,jakarta,p
dob,banjir,httpstcoynbcti
provinsi,egp,umur
papua,heeyyy,skripsi
masyarakat,dengerin,coba
adat,ya,ngelamar
nabire,gua,social
hibah,httpstcoseaetjvpt,skill
lahan,hayo,jelek
bangun,sikat,banget
kantor,biar,temen
gubernur,turun,nyob
httpstcoattwgtovcy,ibrahim,httpstcoiozahsarr
booster,yahudi,sih
tekan,arab,tuju
covid,eyes,ama
normalisasi,for,bos
nikah,eyes,diajarin
kua,teeth,record
aja,for,jelek
pls,teeth,dibenerin
anxiety,lingkar,dek
banget,syaiton,httpstcognfsrjmis
kalo,gk,kebigotannya
adat,sesat,kyk
jejer,turut,persis
suka,ceramah,dua
banget,udah,im
liat,papar,klo
cowo,paham,kalang
pake,pluralisme,agama
baju,agama,httpstcohkumfqplh
adat,ya,ngebahas
lengkap,klo,guru
musim,httpstcovelzrae,agama
panas,murtad,berat
mana,aja,seh
pergi,les,hidup
pantai,susah,elo
takut,banget,httpstcouqzvdsmg
kulit,allah,open
hitam,agama,joki
kalo,islam,nih
atribut,butuh,guys
agama,manusia,butuh
idup,kek,bantu
indonesia,gin,nugas
idup,n,ketik
china,httpstcoikjtkwqmq,wordexcel
melar,dzat,resumereview
httpstcogskjshg,membolakbalikan,jurnal
mah,hati,resume
skip,teguh,materi
ya,hati,ppt
ama,atas,tug
budaya,agama,httpstcoqoknmlfns
korea,hr,cerai
ngikutin,ahmad,kota
idol,amp,malang
biar,tirmidzi,ribu
hepi,sibukkanlh,janda
kadang,httpstcoyxbhvjzdrn,duda
stres,moga,cerai
httpstcoodgklohj,beliau,kota
budaya,bebas,malang
kito,cepat,kota
ramai,selamat,batu
orang,agama,httpstcourjazczj
bela,nkri,putri
sajat,aamiin,tanjung
sbb,tu,raih
typical,kafir,gelar
beauty,hai,sarjana
je,the,academy
tetek,real,of
bontot,mabuk,arts
kulit,agama,university
flawless,bikin,jurus
putih,kaum,multimedia
httpstcojiwnjijlx,hawa,communication
biasa,tutup,san
budaya,mata,fransis
komen,tindak,httpstcobbvffox
t,jahat,me
httpstcoufudlhcvg,kaum,when
hei,mere,kuliah
adat,httpstcoskkanqsfwc,materi
konoha,ntar,ajar
gimana,kadrun,pake
giur,budak,buku
cocok,teriak,vatikan
makan,perintah,oltlt
makan,anti,capek
siang,kritik,banget
dk,nista,training
httpstcoxhsddmxd,agama,sharia
iya,kriminalisasi,banking
langsung,ulama,orang
jijik,kalo,debat
banget,httpstcozolcywcdg,pake
wkwkwk,doa,hukum
ken,pilih,agama
deh,jalan,sampe
kulit,islam,bawa
putih,saudara,cerita
pake,kena,zaman
aja,faham,rosul
cocok,is,httpstcomivctivlv
lipstik,httpstcobsvvjnahja,kemarin
warna,yup,tante
aja,tau,ngabarin
cocok,belanda,via
gausah,nggak,telfon
takut,peduli,kalo
ledekin,sebar,hamil
lutut,agama,telfon
item,bal,topik
kalo,agama,gua
pake,kristen,k
celana,sulit,httpstcolffjzkisou
pendek,httpstcopwwheakeeb,selamat
kau,ya,pagi
pakai,aja,siapatau
tong,cribo,butuh
kau,islam,joki
pakai,paksa,tugas
pakai,ajar,biologi
adat,agama,sejarah
kau,httpstcoutwbkul,agama
bodoh,agama,katolik
httpstcobepgghef,ya,geografi
kyk,wkwk,essay
gin,untunga,design
mending,ku,poster
antem,dapet,min
rame,semester,httpstcoqeqdaukm
yaa,kemarin,sosio
budaya,online,agama
korup,kalo,dah
drdulu,dah,gue
darah,offline,tidur
dagingn,gin,aja
jgankan,ya,inimah
negeri,sabtu,lepas
perusahaa,kampus,tu
httpstcobcxgcmdb,mata,si
tokoh,haram,macai
agama,dr,duk
papua,api,bangga
kecam,neraka,rfid
serang,mata,free
kstp,menang,tahun
booster,karna,open
tekan,takut,slot
covid,pd,joki
httpstcoflvixpi,allah,tugas
seniman,mata,sd
nguriuri,jaga,smp
budaya,islam,sma
adiluhung,dr,matematika
selasela,ganggu,bahasa
bumbung,httpstcouvsmbikz,indonesia
gender,duh,pkn
isi,murtad,prakarya
ginian,bangga,seni
hihhh,biar,budaya
coba,islam,agama
httpstcoktuotjw,siksa,islam
wajar,dunia,sejarah
kulit,httpstcofyqvmnggj,geo
ku,agama,httpstcokbggsep
burik,islam,smk
karna,ajar,murid
main,umat,usir
nya,pribadi,pas
trik,maaf,ulang
mataharibukan,balas,karna
gemerlap,jahat,blm
lampu,ba,bayar
diskotik,httpstcommktanahw,spp
httpstcoariuowth,rusak,bayar
tu,agama,ulang
rang,rusak,wktu
jawa,lisan,sd
httpstcowuljpfu,manusia,le
kaum,tiga,httpstcooeeexyjh
b,rusak,orang
kemisikinan,badan,prestasi
je,manusia,korupsi
struggle,akh,plus
tu,httpstcobffzqmpz,narapidana
tapai,kadrun,httpstcoaxoklrla
tengok,manusia,awas
sudut,tuhan,aja
warna,agama,jelek
kulit,kadrun,akun
i,buru,gue
httpstconxfrmele,manusia,buang
ras,bunuh,nzir
apaa,httpstcoktutsgpkf,td
aja,ajar,pas
bule,agama,pel
cina,makan,biologi
jawa,mentah,gambar
pinoy,mentah,jantung
amiiinnn,tafsir,jelek
salam,banding,banget
budaya,muncul,ih
indonesia,httpstcodqetojd,httpstcosffkevqin
jijik,konsep,kecewa
aja,tuhan,prh
aparat,tuh,smpai
yah,luas,g
lestari,masingmasing,bs
tradisi,agama,moveon
mbok,pengertia,thn
yah,httpstcoisloqsjib,gue
milihmilih,munafik,dapet
lestari,sihcari,petuah
budaya,uang,salah
korup,duniawi,ahli
faktafakta,mllui,agama
kait,jualn,httpstcopzfhxtdaaq
aksara,agama,produk
bal,httpstcolvdaidsy,toko
sejarah,ngatasin,emang
jenis,kaum,udah
lengkap,intoleran,jamin
httpstcodgoonvpsm,hatei,kualitas
gue,fpi,bagus
sma,aja,takut
buluk,g,bahan
banget,ngimpi,jelek
gasuka,ri,yaa
bilang,mahal,harga
cantik,xpe,j
cowo,janji,httpstcoishrbyzk
gue,yahudi,nama
sadar,jual,progress
dg,kadrun,resap
pd,otak,hilir
jangka,sungsang,bener
ng,ngamuk,haru
httpstcovermtyj,sapi,httpstcoedxgqyufbr
dewi,aja,sakit
kanti,suci,perut
maling,agama,jalan
identitas,hindu,pas
sunda,dianggep,pulang
wiwitan,seband,sekolah
yakan,httpstcovejgljhj,hujan
ngomongin,nya,nyampe
adat,kalo,rumah
ya,niat,gada
tweet,nilep,sinyal
lu,duit,jelek
nu,bawa,banget
aja,bawa,twt
hancur,umat,jelek
hmi,ayat,banget
selamat,agama,pake
negeri,tampil,night
ludruknesia,syar,mode
negeri,i,or
carut,gentle,is
marut,httpstcoaghlueptvd,it
negeri,pret,just
httpstcohpcyrxwqg,sahabat,me
oooh,anis,gantung
bisabudaya,sat,interpretasi
baku,komunitas,masingmasing
hantam,anis,individu
ka,komunis,kemari
ting,ade,rumah
kasus,plural,agama
garem,nyang,kultus
sebenernya,ad,raya
victim,httpstcoiiszxrbqu,selesai
anjing,kadrun,ber
kalo,makan,httpstcoefrawrttt
bener,nasi,usang
emang,lalat,si
bangsat,peras,mas
bgtlah,geng,sukses
budaya,ph,pancing
korea,suka,ribut
banget,tunggang,opini
httpstcoisgdlua,agama,jelek
udah,hina,gua
bayang,orang,kgk
gimana,islam,masuk
jijel,isl,kerja
pake,httpstcoykwbxxmnko,gegara
adat,banget,maslaah
bal,harga,gua
cocok,bilang,chat
banget,perintah,jelek
awkwkwk,pro,gua
relate,rakyat,kgk
banget,klo,bayar
hubung,kadrun,jd
asal,entar,httpstcooymtdogr
daerah,agama,sakit
agam,lu,perut
homogen,senggol,jalan
banget,ngamuk,pas
eh,roy,pulang
ban,nista,hujan
httpstcorachxkbkt,agama,nyampe
mana,kabar,rumah
orang,nih,gada
indonesia,httpstcodtbplgj,sinyal
satu,roben,jelek
smua,kena,banget
ras,gunaguna,orangaring
agama,ilmu,kek
ya,hitam,sih
satu,ahli,harum
indo,spiritual,bingung
httpstcolpufdrksid,sosok,ambil
gue,orang,matkul
ngehomo,httpstcoobrefjf,agama
httpstcolbqrywxga,muhammadiyah,nilai
hilang,swasta,gue
budaya,cah,jelek
malu,chiben,bangeetttt
laku,agama,jelek
hendak,kayak,jelek
hr,usaha,temen
bukhari,gitu,temen
muharram,loh,gue
h,apasih,i
ywfa,bikin,hate
sepupu,sekolah,myself
gua,jahat,gapapa
gin,banget,jelek
cantik,astaga,suka
kalo,raya,salah
kaki,agama,satu
bersih,lho,web
means,ckckck,lo
like,httpstcocdrqz,jelek
koreng,nama,banget
dll,kerak,anjing
gua,neraka,gani
langsun,topeng,gadugang
httpstcokumstqwh,agama,ras
ras,orang,problema
kuat,klo,ngecropnya
tuh,mabuk,jelek
mati,agama,banget
ne,ya,yauda
ikijijik,berfikirnya,gpp
banget,pantesan,indonesia
plisurepku,oon,jg
ddi,kadrun,negara
rak,otak,sekular
tenangd,kosong,iktiraf
otake,unt,agama
rusak,pikir,httpstcomjdimzejr
ngentodmbok,maju,sinyal
kebiri,sah,nya
si,skdr,knp
koikikontole,kritik,jelek
httpstconywdlvhd,agama,bngt
cuman,jg,dhh
perempuan,anti,ecek
bodoh,kritik,jo
jajah,taek,baso
busana,gemuruh,mang
jaman,kadrun,ya
batu,juta,negara
tuhan,orang,bentuk
cipta,dongo,agama
bumi,dukung,nasib
ind,jokowi,tanggung
httpstcocndpagluo,nya,httpstcobdawo
vaksin,juta,orang
booster,orang,aring
aman,lupa,banget
aksi,kadrun,tuch
kkb,eh,dr
papua,gitu,pagi
langgar,ya,bawa
ham,cntik,lemes
berat,tpi,cuapek
tumpas,agama,mager
jijik,hancur,ngantuk
banget,wwwoow,dateng
laki,siman,kantor
bikin,g,mood
ig,religius,jelek
story,agama,tambah
ngedm,aja,aduh
kek,nyakitin,opose
nafsu,beda,iki
tuh,agama,ken
cetek,bener,sambat
banget,ya,yaopo
liat,nggak,yo
cewek,cewe,fair
pake,cowo,mindset
tanktop,tuh,lu
aja,pure,khalayak
en,httpstcocdhzkpq,putri
httpstcoabmpfdxe,shes,tanjung
sistem,a,speaker
hidup,beda,jelek
budaya,agama,wkwkwk
sekuler,orang,indo
liberal,gila,suka
sebab,hina,miracle
marak,agama,story
bullying,buzzerrp,doang
httpstcohfpfdtdj,laku,capek
vaksin,bunda,banget
booster,agama,grammar
aman,anut,jelek
kkb,agama,bodo
papua,abrahamik,ah
aniaya,bawel,klo
tembak,ya,ane
anggota,dengerin,pikir
tni,tertib,pindahin
anak,sholat,kantor
korban,idul,perintah
tebas,adha,bodetabek
jari,gimana,jkrt
putus,kasih,kemenlu
jaga,tau,httpstcoayovwwdsk
murni,tertib,shopee
ras,sholatnya,jelek
biar,agama,banget
nggak,sih,sih
campur,komunis,appnya
darah,jaman,ngefreeze
pribumi,now,mulu
kadang,bnyk,transaksi
mikir,jg,batal
sih,jibub,karna
nyakitin,an,salah
hati,mesti,sistem
orang,alim,suka
ras,or,loading
penah,pandai,cape
httpstcolbtkmgjv,ilmu,banget
ras,agama,hasil
kuat,takpernah,produk
nctzen,dosa,beda
please,manusia,agama
deh,kot,gue
menang,malaikat,iya
lawan,takpay,iya
ras,httpstcoeshzlpxj,aja
dialog,kadrun,karna
ilmiah,kerja,kadang
pemuda,suka,nggak
bangkal,tebar,ketemu
bangun,fitnah,jawab
ekstrem,ya,anin
nilai,parah,grad
pancasila,fitnah,gabisa
islam,pakai,acar
wasatiyah,kedok,cerai
narasum,agama,agama
httpstcommgwjppg,httpstcohwplrmvyn,hukum
me,injil,adil
ras,lu,agama
akun,bahasa,jakarta
akun,yunani,barat
kolam,iesous,timur
raja,orang,hihiw
kolam,yunani,sakit
kuasa,yeee,perut
korup,kafir,jalan
jd,terjemah,hujan
budaya,bahasa,nyampe
imun,wajib,rumah
kayak,agama,gada
cina,aja,signal
amp,beliau,jelek
korut,perintah,banget
please,anak,sinyal
ngomong,gadisnyadi,ponsel
pki,situ,jelek
anti,poin,ya
kapitalis,kafir,biarin
komunis,sibuk,bos
ya,urus,pakai
gua,ajar,provider
imam,orang,kantor
zaman,mati,kayak
kayak,urus,mutual
lo,alloh,km
mat,bukn,kaya
meng,urus,jelek
pki,lo,ka
orang,tongyg,ranah
httpstcogxvoooyjkd,mudah,mang
kalo,bgitu,ilmu
implementasi,nga,orang
nya,bs,indonesia
keras,cernabelajar,ilmu
cina,agama,arif
bego,yotak,lokal
nya,otak,disebutny
nih,wkwkkwk,httpstcoypjblmjplq
tegas,jelas,help
cari,problem,rt
ilmu,solving,please
negeri,tentang,buyer
cina,nilai,hnr
berantas,nilai,guys
kst,budaya,username
papua,agama,beli
ikn,httpstcovglvjrffc,pc
potret,kalo,jaemin
maju,hard,cafe
kagak,si,httpstcospwpmvo
jd,beda,kawan
cina,agama,hirau
cina,cuy,pasu
aseng,skali,golput
aseng,tunggang,cuitanya
kagak,agama,pojok
jd,ijab,pasang
komunis,kabul,capres
tautaunya,suruh,amp
enak,pakai,cawapres
emang,bahasa,jokowi
jilat,ibrani,amp
lu,haleluya,hk
httpstcoouwztfnn,kafir,maruf
jalan,terima,amin
jirat,kayak,httpstcolevuzav
cina,gin,aku
dah,debat,ekspresi
laa,ora,kultural
jalan,negara,bebas
tu,isine,dapat
gelap,bahas,identitas
takde,agama,politik
lampu,melulu,izin
harap,nda,kibar
lampu,maju,httpstcozllafna
kereta,httpstcoimscavz,jelek
j,abang,ae
httpstcovwycrdkbct,farhan,buuuuuuu
haji,bilang,kalo
pake,gin,udah
kereta,abang,ganti
buat,siiihhh,latih
cina,pilih,main
nama,karna,jelek
haji,unsur,yaaa
haram,agama,emang
koplaaakkk,cantik,tuman
ciri,durasi,sinyal
khas,kekal,nya
pkiahli,gitu,jelek
fitnahkalian,yaa,ih
bikin,betulbetul,keluarga
sendirilalu,emang,adil
diributin,kadrun,agama
sendirisinetron,mikir,kab
basi,pakai,malang
tenang,jubah,selamat
banget,agama,sukses
dengerin,dicekokin,httpstcopcniftvh
lagu,ta,ateez
lagu,ya,ajarin
cina,terep,nulis
anjeeeeennngggg,hepi,tulis
nasning,bas,jelek
ras,agama,banget
cape,aja,ehhehe
banget,ahay,td
si,wkwkwkw,pagi
budiman,kena,bangun
bujang,prank,mimpi
ras,agama,jelek
loreng,gurun,trs
sangar,sdh,unmood
banci,racun,abis
gasuka,agama,liat
nih,logika,nilai
udah,nya,langsung
bawa,macet,jd
